Date,Price,Open,High,Low,index,Change %
12/3/2012,1715.25,1713.9,1722.11,1712.99,2872,0.03%
12/4/2012,1697.35,1715.55,1717.67,1691.25,2871,-1.04%
12/5/2012,1693.99,1697.47,1707.18,1684.98,2870,-0.20%
12/6/2012,1699.14,1693.87,1703.38,1686.11,2869,0.30%
12/7/2012,1703.65,1699.31,1705.61,1684.4,2868,0.27%
12/10/2012,1710.25,1704.45,1717.6,1702.64,2867,0.39%
12/11/2012,1710.1,1712.3,1714.6,1705.04,2866,-0.01%
12/12/2012,1711.95,1709.99,1723.41,1707.84,2865,0.11%
12/13/2012,1697.3,1711.81,1712.11,1689.55,2864,-0.86%
12/14/2012,1695.47,1697.41,1700.74,1693.45,2863,-0.11%
12/17/2012,1697.93,1695.76,1700.03,1687.05,2862,0.15%
12/18/2012,1670.15,1698.21,1703.47,1661.62,2861,-1.64%
12/19/2012,1666.94,1670.38,1676.99,1663.42,2860,-0.19%
12/20/2012,1647.75,1667.22,1672.12,1635.7,2859,-1.15%
12/21/2012,1656.99,1647.64,1659.68,1635.62,2858,0.56%
12/24/2012,1657.48,1657.79,1665.9,1652.13,2857,0.03%
12/25/2012,1658.9,1657.91,1663.15,1657.81,2856,0.09%
12/26/2012,1660.14,1658.12,1667.89,1650.38,2855,0.07%
12/27/2012,1663.9,1660.31,1665.76,1653.05,2854,0.23%
12/28/2012,1655.4,1663.84,1666.49,1653.44,2853,-0.51%
12/31/2012,1674.95,1656.21,1680.71,1655.71,2852,1.18%
1/1/2013,1675.15,1675.26,1676.21,1664.55,2851,0.01%
1/2/2013,1686.75,1675.03,1695.1,1670.39,2850,0.69%
1/3/2013,1663.35,1686.54,1690,1660.89,2849,-1.39%
1/4/2013,1656.85,1663.42,1664.42,1626.4,2848,-0.39%
1/7/2013,1647.25,1656.51,1662.71,1642.75,2847,-0.58%
1/8/2013,1659,1647.21,1662.3,1646.64,2846,0.71%
1/9/2013,1657.9,1658.83,1666.41,1651.45,2845,-0.07%
1/10/2013,1675.25,1657.97,1679.21,1654.1,2844,1.05%
1/11/2013,1663.05,1675.28,1677.05,1654.05,2843,-0.73%
1/14/2013,1667.2,1661.95,1674.8,1660.04,2842,0.25%
1/15/2013,1678.9,1666.94,1685.3,1666.44,2841,0.70%
1/16/2013,1679.5,1678.65,1685.11,1673.55,2840,0.04%
1/17/2013,1687.64,1679.79,1695.94,1666.94,2839,0.48%
1/18/2013,1683.95,1687.25,1695.51,1683.6,2838,-0.22%
1/21/2013,1690.05,1684.9,1691.6,1684.9,2837,0.36%
1/22/2013,1692.1,1690.05,1696.26,1686.64,2836,0.12%
1/23/2013,1685.75,1692.37,1695.61,1683.45,2835,-0.38%
1/24/2013,1667.74,1686.35,1686.45,1665.08,2834,-1.07%
1/25/2013,1658.69,1667.88,1672.59,1655.78,2833,-0.54%
1/28/2013,1654.95,1658.76,1662.81,1652.54,2832,-0.23%
1/29/2013,1663.85,1655.2,1666.06,1654.3,2831,0.54%
1/30/2013,1677.1,1663.96,1683.79,1662.79,2830,0.80%
1/31/2013,1663.6,1677.42,1681.01,1658.15,2829,-0.80%
2/1/2013,1667.15,1664.02,1682.31,1660.35,2828,0.21%
2/4/2013,1674.4,1667.55,1677.61,1661.79,2827,0.43%
2/5/2013,1673,1674.21,1684.9,1666.76,2826,-0.08%
2/6/2013,1677.49,1672.62,1679.49,1668.22,2825,0.27%
2/7/2013,1671.3,1677.71,1683.51,1663.41,2824,-0.37%
2/8/2013,1667.5,1671.72,1673.91,1665.45,2823,-0.23%
2/11/2013,1649.74,1666.93,1669.7,1643.62,2822,-1.07%
2/12/2013,1650.8,1647.94,1653.5,1639.22,2821,0.06%
2/13/2013,1642.74,1650.85,1653.59,1640.33,2820,-0.49%
2/14/2013,1634.85,1642.84,1650.05,1632.72,2819,-0.48%
2/15/2013,1609.44,1634.53,1636.1,1598.42,2818,-1.55%
2/18/2013,1610.05,1609.95,1619,1607.33,2817,0.04%
2/19/2013,1604.6,1609.93,1615.34,1600.72,2816,-0.34%
2/20/2013,1562.9,1604.71,1609.82,1558.85,2815,-2.60%
2/21/2013,1576.05,1563.09,1584.88,1554.88,2814,0.84%
2/22/2013,1580.7,1576,1587.25,1570.16,2813,0.30%
2/25/2013,1594.24,1581.29,1597.18,1575.18,2812,0.86%
2/26/2013,1613.49,1593.93,1620.05,1584.6,2811,1.21%
2/27/2013,1597.6,1613.39,1614.89,1592.33,2810,-0.98%
2/28/2013,1580.14,1597.38,1602.98,1574.72,2809,-1.09%
3/1/2013,1575.24,1580.18,1587.29,1564.83,2808,-0.31%
3/4/2013,1573.95,1579.01,1585.11,1569.65,2807,-0.08%
3/5/2013,1575.44,1573.88,1586.3,1571.72,2806,0.09%
3/6/2013,1583.69,1575.28,1584.79,1567.53,2805,0.52%
3/7/2013,1578.9,1583.59,1585.89,1574.94,2804,-0.30%
3/8/2013,1578.35,1579.12,1583.51,1561.41,2803,-0.03%
3/11/2013,1581,1578.4,1583.61,1575.65,2802,0.17%
3/12/2013,1592.7,1582.01,1598.81,1580.25,2801,0.74%
3/13/2013,1587.8,1592.91,1599.61,1585.55,2800,-0.31%
3/14/2013,1590.3,1587.9,1593.5,1576.99,2799,0.16%
3/15/2013,1592.45,1590.41,1598.81,1588.9,2798,0.14%
3/18/2013,1605.3,1597.26,1611.31,1592.56,2797,0.81%
3/19/2013,1613.4,1605.41,1615.77,1600.15,2796,0.50%
3/20/2013,1606.5,1613.5,1615.21,1603.55,2795,-0.43%
3/21/2013,1614.7,1606.58,1616.97,1604.65,2794,0.51%
3/22/2013,1608.45,1614.7,1616.35,1603.79,2793,-0.39%
3/25/2013,1605.4,1609.3,1613.76,1589.99,2792,-0.19%
3/26/2013,1599.2,1605.6,1606.27,1594.85,2791,-0.39%
3/27/2013,1605.4,1599.31,1608.61,1591.5,2790,0.39%
3/28/2013,1596.74,1605.76,1607.88,1594.06,2789,-0.54%
4/1/2013,1598.9,1597.74,1601.31,1594.94,2788,0.14%
4/2/2013,1575.85,1599.6,1604.21,1574,2787,-1.44%
4/3/2013,1557.85,1576.04,1577.41,1550.19,2786,-1.14%
4/4/2013,1553.32,1557.96,1559.87,1540.35,2785,-0.29%
4/5/2013,1582,1553.32,1582.05,1549.34,2784,1.85%
4/8/2013,1573.7,1581.25,1583.37,1567.55,2783,-0.52%
4/9/2013,1585.2,1572.94,1590.5,1570.44,2782,0.73%
4/10/2013,1558.75,1584.95,1588.91,1556,2781,-1.67%
4/11/2013,1561.35,1559.3,1568.42,1553.71,2780,0.17%
4/12/2013,1478.85,1560.69,1564.86,1477.5,2779,-5.28%
4/15/2013,1353.25,1478.3,1495.66,1336.54,2778,-8.49%
4/16/2013,1368.9,1353.86,1402.35,1322.46,2777,1.16%
4/17/2013,1377,1369.3,1395.1,1365.1,2776,0.59%
4/18/2013,1391.25,1376.8,1401.96,1340.36,2775,1.03%
4/19/2013,1404.35,1391.21,1425.01,1386.46,2774,0.94%
4/22/2013,1426.25,1405.17,1439.77,1404.61,2773,1.56%
4/23/2013,1413.35,1426.86,1432.42,1406.55,2772,-0.90%
4/24/2013,1431.3,1412.69,1433.4,1411.79,2771,1.27%
4/25/2013,1467.85,1431.45,1469.46,1427.25,2770,2.55%
4/26/2013,1463,1467.95,1485.31,1448.69,2769,-0.33%
4/29/2013,1476.65,1464.85,1478.56,1462.45,2768,0.93%
